trackid,numtrajpoints,lastupdatetime
18001504,0,2018-01-12 18:00:15.856729
18001505,0,2018-01-12 18:00:16.090618
18001600,0,2018-01-12 18:00:16.719311
18001800,0,2018-01-12 18:00:18.384599
18001801,0,2018-01-12 18:00:18.778541
17592000,14,2018-01-12 17:59:44.466598
18001901,0,2018-01-12 18:00:19.991204
18001900,0,2018-01-12 18:00:19.991204
18002000,0,2018-01-12 18:00:20.159064
18002002,0,2018-01-12 18:00:20.34314
18002001,0,2018-01-12 18:00:20.34314
18002100,0,2018-01-12 18:00:21.169514
18002101,0,2018-01-12 18:00:21.561446
17594800,8,2018-01-12 17:59:48.956955
17594901,0,2018-01-12 17:59:49.54722
17594900,0,2018-01-12 17:59:49.54722
17595001,0,2018-01-12 17:59:50.996102
17595100,0,2018-01-12 17:59:51.743002
18002103,0,2018-01-12 18:00:21.883145
18002102,0,2018-01-12 18:00:21.883145
18002201,0,2018-01-12 18:00:22.784344
18002200,0,2018-01-12 18:00:22.784344
18002300,0,2018-01-12 18:00:23.42202
18002301,0,2018-01-12 18:00:23.793962
17581200,80,2018-01-12 17:58:26.169248
18002401,0,2018-01-12 18:00:24.171398
18002400,0,2018-01-12 18:00:24.171398
18002402,0,2018-01-12 18:00:24.992459
18002403,0,2018-01-12 18:00:25.102907
18002500,0,2018-01-12 18:00:25.426581
18002502,0,2018-01-12 18:00:25.695553
18002501,0,2018-01-12 18:00:25.695553
18002503,0,2018-01-12 18:00:25.806641
18002504,0,2018-01-12 18:00:26.027458
18002600,0,2018-01-12 18:00:26.385462
18002601,0,2018-01-12 18:00:26.515428
18002603,0,2018-01-12 18:00:26.723646
18002602,0,2018-01-12 18:00:26.723646
17595000,20,2018-01-12 17:59:55.239766
18002700,0,2018-01-12 18:00:27.556883
18002701,0,2018-01-12 18:00:27.831172
17595500,3,2018-01-12 17:59:55.847124
17595501,0,2018-01-12 17:59:55.957203
17595800,0,2018-01-12 17:59:58.63819
17595801,0,2018-01-12 17:59:58.741235
17595802,0,2018-01-12 17:59:58.835164
17595803,0,2018-01-12 17:59:59.002464
18000100,0,2018-01-12 18:00:01.853193
18000101,0,2018-01-12 18:00:01.98741
18000211,0,2018-01-12 18:00:02.505655
18000210,0,2018-01-12 18:00:02.505655
18000209,0,2018-01-12 18:00:02.505655
18000208,0,2018-01-12 18:00:02.505655
18000207,0,2018-01-12 18:00:02.505655
18000206,0,2018-01-12 18:00:02.505655
18000205,0,2018-01-12 18:00:02.505655
18000204,0,2018-01-12 18:00:02.505655
18000203,0,2018-01-12 18:00:02.505655
18000202,0,2018-01-12 18:00:02.505655
18000201,0,2018-01-12 18:00:02.505655
18000200,0,2018-01-12 18:00:02.505655
18000213,0,2018-01-12 18:00:02.584889
